,PC1,PC2,Group
97,-8.315915303038174,-6.89816167646072,BLCA-tumor
98,-0.4290925155796393,-1.6199606064935077,BLCA-tumor
99,4.37095598497492,-2.2002863576838023,BLCA-tumor
100,3.1291059721670065,-0.7988996073297101,BLCA-tumor
101,6.2343091835534095,0.43204017242769255,BLCA-tumor
102,2.8712748423475043,0.5785013696395481,BLCA-tumor
103,-1.6033334275647293,-2.9111843411038176,BLCA-tumor
104,-1.2699552514546897,-3.763496016336186,BLCA-tumor
105,6.2904767908788095,0.9728127911696041,BLCA-tumor
106,1.2372914607202357,-4.200953622154562,BLCA-tumor
107,7.345685366382426,3.8280376882228517,BLCA-tumor
108,5.923930026872934,-0.3349996364777115,BLCA-tumor
109,-2.172017522175684,-1.6262847691689795,BLCA-tumor
110,-1.4338692338815588,-1.3751772558476119,BLCA-tumor
